name,category,ingredient
[엄태준] 병어 애호박말이,메인요리,애호박 덕자(큰 병어) 코셔 솔트 물 백간장 누끼미림 참나물 오일 어간장 애호박 샬롯 버터 새우젓 소금 이찌방다시 단새우 머리 문어바지락 양파 당근 셀러리 건새우 건새우 물 대파 흰 부분 무 다시마 가쓰오부시 비장탄에 구운 한치 슬라이스 애호박 브루누아즈(작게 썬 애호박) 다진 단새우 차가운 버터 치킨스톡 애호박 퓨레
[엄현정] 여름 채소와 호박 딥,메인요리,오크라 통 아몬드 호박씨 잣 무염 버터 큐민 스모크 파프리카 파우더 터메릭 파우더 흑설탕 소금 후춧가루 로즈마리 애호박 노랑 주키니 양파 마늘 바질오일 식용꽃 타임 엑스트라버진 올리브오일 버터 베지스톡 생크림 소금 후춧가루
[김정은] 돼지안심말이,다이어트 도시락 메인요리,돼지고기 안심 생강 마늘 삶은 죽순 아스파라거스 전분(또는 밀가루) 식용유 실고추(생략 가능) 깨(생략 가능) 겨잣잎 국간장 비정제당 참기름 후춧가루
[김정은] 보리밥 감태말이,도시락 메인요리,보리 쌀 물 감태
[김정은] 무말랭이 유부주머니,안주 도시락 메인요리,무말랭이 당근 간 돼지고기 쪽파 미나리(또는 박고지) 유부 올리브오일 소금 후춧가루 간장 멸치육수 간 생강 비정제설탕
레몬 포셋,간단요리,생크림 설탕 레몬 바닐라 익스트랙 레몬제스트(생략 가능)
우유떡,간식 간단요리,우유 찹쌀가루 옥수수 전분 설탕 소금 콩가루 참기름
[선재 스님] 오이 깍두기,밑반찬 메인요리,오이 무 다진 제피잎 (생략 가능) 고춧가루 간장 소금 매실청
[선재 스님] 상추 불뚝전,메인요리,쫑상추 포도씨유 소금 밀가루 물 사과 고추장 식초
[선재 스님] 노각 된장냉국,메인요리,노각 된장 매실청 설탕 식초 물 다진 제피잎
꿀헛개라떼,간단요리,꿀헛개 파우더 얼음 우유
불닭 장칼국수,메인요리,불닭볶음탕면 애호박 감자 대파 닭가슴살(생략 가능) 계란 김가루 통깨
베리 판나코타,간단요리,우유 생크림 설탕 판젤라틴 바닐라 익스트랙(생략 가능) 산딸기(생략 가능) 블루베리(생략 가능) 냉동 딸기 냉동 산딸기 설탕 물 레몬즙
순살 아귀찜,메인요리,순살 아귀 찜용 콩나물 대파 미나리 홍고추 청양고추 멸치 다시마 육수 참기름 소금 통깨 청주 소금 고춧가루 맛술 간장 참치액젓 설탕 다진 마늘 소금 생강가루 후춧가루
아귀 스테이크,초대요리 메인요리,순살 아귀 아스파라거스 감자 올리브오일 소금 후춧가루 맛술 레몬즙 버터 소금 후춧가루 다진 파슬리
용과 샐러드,간단요리,용과 파파야(생략 가능) 화이트와인식초 올리브오일 소금
한치버터구이,안주,손질 한치 버터 파슬리 가루(생략 가능) 간장 마요네즈 다진 청양고추
토마토 부라타샐러드,간단요리,토마토 부라타치즈 소금 올리브오일
용과주스,간단요리,용과
맑은 아귀탕,메인요리,손질 아귀 미나리 무 대파 청양고추 홍고추 멸치액젓 국간장 맛술 다진 마늘 소금 물 초이스레시피 멸치육수(또는 멸치 10마리 다시마 1장 대파 1대 무 1토막) 진간장 설탕 맛술
용과잼,간단요리,용과 설탕 레몬
루꼴라 비트 카르파초,채식 간단요리,루꼴라 비트 견과류 화이트 발사믹 올리브오일 소금 후춧가루
로메인 치킨 샌드위치,다이어트,사워도우 토마토 로메인 삶은 닭가슴살 크랜베리 호두 그릭 요거트 마요네즈 연유 레몬즙 디종 머스터드 소금 후춧가루 마요네즈 연유 홀그레인 머스터드
케일 강된장쌈밥,한식 메인요리,케일 밥 애호박 대파 다진 마늘 청양고추 홍고추 다시마 우린 물 두부 들기름 소금 통깨 된장 멸치액젓 올리고당
케일 딥,채식 다이어트,케일 볶은 캐슈넛 레몬즙 마늘 소금 후춧가루 파마산 치즈 올리브오일 케일 데친 물
플라워피자,초대요리 양식 메인요리,메리골드 꽃 강력분 물 이스트 소금 올리브오일 모차렐라 치즈 토마토 소스
케일 크림파스타,양식 메인요리,파스타 면 케일 양파 마늘 파마산 치즈 소금 후춧가루 생크림 치킨스톡
루꼴라 파스타,양식 메인요리,루꼴라 스파게티 면 토마토 소스 마늘 방울토마토 올리브오일 치킨스톡(고형) 소금 후춧가루
허브포카치아,오븐 요리 베이킹,강력분 드라이 이스트 설탕 소금 따뜻한 물 올리브오일 타임 스피아민트 방울토마토 천연소금
로메인 쉬림프 샐러드,다이어트,로메인 칵테일 새우 아보카도 적양파 올리브오일 파슬리 소금 후춧가루 마요네즈 디종 머스타드 레몬즙 레몬제스트 설탕 소금 후춧가루
로메인 썸머롤,다이어트 채식,로메인 라이스페이퍼 버미셀리 적양파 볶은 땅콩 고수 스위트 칠리소스 피쉬소스 설탕 다진 마늘 레몬즙
